movie_title,genres,tomatometer_rating
Damn Yankees,Classics; Comedy; Drama; Musical & Performing Arts; Science Fiction & Fantasy,76.0
Dangerous,Classics; Drama,83.0
Dangerous Liaisons,Drama,93.0
The Dark Mirror,Drama; Mystery & Suspense,71.0
Darling,Art House & International; Classics; Comedy; Drama; Romance,67.0
Day of the Dead,Horror,81.0
The Day the Earth Stood Still,Classics; Drama; Science Fiction & Fantasy,95.0
Days of Wine and Roses,Classics; Drama,100.0
Dead Heat,Action & Adventure; Comedy; Horror; Mystery & Suspense,11.0
Dead Reckoning,Classics; Drama; Mystery & Suspense,67.0
Death in Venice,Drama,71.0
Death of a Salesman,Drama; Television,100.0
Dèmoni (Demons),Art House & International; Horror,60.0
The Desperate Hours,Classics; Drama; Mystery & Suspense,86.0
Devil Doll,Classics; Horror,20.0
Dillinger,Action & Adventure; Drama; Mystery & Suspense,92.0
Dinner at Eight,Classics; Comedy; Drama; Romance,90.0
Distant Thunder,Drama,43.0
Doctor Zhivago,Classics; Drama; Television; Romance,84.0
Dodge City,Classics; Western,100.0
Dolls,Horror,60.0
Dr. Jekyll and Mr. Hyde,Drama; Horror,90.0
How the Grinch Stole Christmas,Animation; Classics; Comedy; Kids & Family; Musical & Performing Arts; Television,100.0
Dracula,Classics; Horror,92.0
Dracula,Horror; Mystery & Suspense,60.0
Dracula,Art House & International; Drama; Horror; Romance,59.0
Dragnet,Action & Adventure; Comedy,51.0
The Dream Team,Comedy,57.0
Dressed to Kill,Drama; Horror; Mystery & Suspense,80.0
Duel,Mystery & Suspense; Television,88.0
Dune,Science Fiction & Fantasy,53.0
The Eagle Has Landed,Action & Adventure; Art House & International; Mystery & Suspense,67.0
East of Eden,Classics; Drama,85.0
Easy Money,Action & Adventure; Comedy,60.0
Eaten Alive,Horror; Mystery & Suspense,35.0
Edipo re (Oedipus Rex),Art House & International; Drama,88.0
The Elephant Man,Drama,92.0
The Enforcer,Action & Adventure; Drama; Mystery & Suspense,68.0
The Enforcer,Classics; Drama; Mystery & Suspense,88.0
Escape from New York,Action & Adventure; Science Fiction & Fantasy,86.0
Exodus,Classics; Drama,63.0
Eyewitness,Horror; Mystery & Suspense,75.0
Fahrenheit 451,Classics; Science Fiction & Fantasy,81.0
The Fan,Drama; Mystery & Suspense,38.0
Fandango,Comedy; Drama,50.0
Far From the Madding Crowd,Drama; Romance,64.0
Farewell; My Lovely,Classics; Drama; Mystery & Suspense,76.0
Fatal Attraction,Drama; Mystery & Suspense,76.0
Father of the Bride,Classics; Comedy; Drama,90.0
Fire and Ice,Action & Adventure; Animation; Cult Movies; Science Fiction & Fantasy,60.0
Flash Gordon,Action & Adventure; Comedy; Science Fiction & Fantasy,83.0
Flashback,Comedy,43.0
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Action & Adventure; Drama,85.0
The Flight of the Phoenix,Action & Adventure; Classics; Drama,90.0
Flipper,Action & Adventure; Classics; Drama; Kids & Family; Television,40.0
The Fly,Classics; Horror; Mystery & Suspense; Science Fiction & Fantasy,95.0
The Fly,Drama; Horror; Science Fiction & Fantasy,92.0
Flying Tigers,Action & Adventure; Classics; Drama,67.0
Footloose,Drama; Musical & Performing Arts; Romance,52.0
The Four Feathers,Action & Adventure; Art House & International; Classics,100.0
Frantic,Action & Adventure; Drama; Mystery & Suspense,76.0
Freaky Friday,Comedy; Kids & Family; Science Fiction & Fantasy,70.0
Fright Night,Horror,92.0
From Here to Eternity,Classics; Drama; Romance,92.0
Frosty the Snowman,Animation; Kids & Family,73.0
The Fugitive,Drama,86.0
Fun with Dick and Jane,Comedy,50.0
Funny Farm,Comedy,65.0
The Fury,Drama; Horror; Mystery & Suspense; Science Fiction & Fantasy,75.0
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),Action & Adventure; Horror; Mystery & Suspense; Science Fiction & Fantasy,31.0
Gallipoli,Art House & International; Drama,91.0
The Gambler,Classics; Drama,78.0
